X,Y,id,note,icon_url,Db_Export_IDScheda,Db_Export_DescStrada,Db_Export_TipiImpiantiprg_Descrizione,Db_Export_noteprg,Db_Export_NumeroTransenne,Db_Export_GruppiImpianti_Descrizione,Db_Export_NumeroFoto
12.3480061057378,44.2735807809367,"848",,./1.png,"848",VIALE VITTORIO VENETO   angolo FILZI  VIALE,Transenna L160,4 ELEMENTI,"4",Transenne parapedonali,IMG_2211
12.3502538616627,44.2740475695523,"849",,./1.png,"849",VIALE GRAMSCI   angolo TOTI VIALE,Transenna L90,3 ELEMENTI,"3",Transenne parapedonali,IMG_2212
12.3497981110975,44.2748168245867,"435",,./0.png,"435",VIALE GRAMSCI   angolo LUIGI CADORNA  VIALE,Impianto monopalo,AL POSTO DEL NOME VIA,"0",Segnaletica direzionale privata,IMG_1616
12.3510146706334,44.2729104724257,"850",,./0.png,"850",VIA DANTE ALIGHIERI   angolo BARACCA  VIALE,Impianto monopalo,,"0",Segnaletica direzionale privata,IMG_2214
12.3642552834153,44.2344668244619,"851",,./0.png,"851",VIA SCAVI ARCHEOLOGICI   quasi angolo EUROPA UNITA  VIA,Impianto a due pali,AL POSTO DEL PANNELLO DI SERVIZIO,"0",Segnaletica direzionale privata,IMG_2215
12.3644891067413,44.2345438945583,"852",,./0.png,"852",VIA SCAVI ARCHEOLOGICI   quasi angolo EUROPA UNITA  VIA,Impianto a due pali,AL POSTO DEL PANNELLO DI SERVIZIO,"0",Segnaletica direzionale privata,IMG_2216
12.3770036295413,44.2212544109362,"853",,./0.png,"853",VIALE SICILIA Lato n.c. 12E fronte GARFAGNANA VIA,Portale circuito bagni,MONOPALO,"0",Segnaletica direzionale privata,IMG_2219
12.3816106171942,44.2246575777773,"854",,./2.png,"854",VIALE ITALIA   quasi angolo IRPINIA VIA,Orologio 100x70,,"0",Orologio,IMG_2220
12.3638758624516,44.2531532073548,"855",,./3.png,"855",LUNGOMARE DELEDDA   fronte FERRARA VIALETTO,Porta biciclette,AREA UTILE 600 CM,"0",Impianto di servizio,IMG_2221
12.3611985037194,44.2581294193807,"856",,./4.png,"856",LUNGOMARE DELEDDA Fronte n.c. 28 A  ,Portabiciclette 200x50,AREA UTILE 400 CM,"0",Portabiciclette,IMG_2222
12.3584494864595,44.2637168615805,"857",,./4.png,"857",LUNGOMARE DELEDDA    quasi fronte ROMA  VIALE,Portabiciclette 200x50,,"0",Portabiciclette,IMG_2223
12.3470879021334,44.2602645795218,"858",,./4.png,"858",VIA GUERRA    ,Portabiciclette 200x50,,"0",Portabiciclette,IMG_2224
12.3477619080267,44.2587024866545,"859",,./4.png,"859",VIALE DELLA STAZIONE   quasi angolo MARINI  ROTONDA,Portabiciclette 200x50,A 1 M DA RECINZIONE,"0",Portabiciclette,IMG_2226
12.3572163699282,44.2667604206645,"860",,./4.png,"860",LUNGOMARE D'ANNUNZIO    quasi fronte NAZARIO SAURO  VIA,Portabiciclette 200x50,,"0",Portabiciclette,IMG_2228
12.353909826375,44.2747051352572,"861",,./4.png,"861",LUNGOMARE MIMA   angolo TOTI VIALE,Portabiciclette 200x50,,"0",Portabiciclette,IMG_2229
12.3525895407092,44.2782372925374,"862",,./4.png,"862",LUNGOMARE MIMA   angolo FORLI'  VIALE,Portabiciclette 200x50,,"0",Portabiciclette,IMG_2230
12.3477921082371,44.2890656598298,"863",,./2.png,"863",VIALE ANELLO DEL PINO   angolo XIII TRAVERSA PINETA  VIA,Orologio 100x70,,"0",Orologio,IMG_2231
12.3425309527832,44.2635743091675,"864",,./2.png,"864",VIA ANGELINI   quasi angolo MAZZOTTI CARLI  VIA,Orologio 100x70,,"0",Orologio,IMG_2232
12.3749110328605,44.2339742325848,"12",,./0.png,"12",VIALE ITALIA   fronte LAZIO VIA,Portale circuito bagni,,"0",Segnaletica direzionale privata,IMG_1188
12.3573844152621,44.238951687593,"99",,./3.png,"99",ROTONDA DELLE IADI   angolo CADUTI PER LA LIBERTA' VIA,Impianto di servizio 90 x 135,VALUTARE RIMOZIONE,"0",Impianto di servizio,IMG_1276
12.3667544085201,44.2424247037495,"601",,./1.png,"601",VIALE TRITONE   angolo TITANO  VIALE,Transenna L160,4 ELEMENTI,"4",Transenne parapedonali,IMG_1919
12.343240235027,44.2234432837491,"636",,./0.png,"636",VIA DELL'INDUSTRIA Fronte n.c. 3  ,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1966
